"","scientificName","ias"
"212","Hylodes phyllodes","Batrachochytrium dendrobatidis"
"213","Megaelosia massarti","Batrachochytrium dendrobatidis"
"214","Paratelmatobius mantiqueira","Batrachochytrium dendrobatidis"
"215","Physalaemus moreirae","Batrachochytrium dendrobatidis"
"216","Physalaemus barrioi","Batrachochytrium dendrobatidis"
"217","Telmatobius vellardi","Batrachochytrium dendrobatidis"
"218","Telmatobius cirrhacelis","Batrachochytrium dendrobatidis"
"219","Telmatobius niger","Batrachochytrium dendrobatidis"
"220","Thoropa miliaris","Batrachochytrium dendrobatidis"
"221","Thoropa saxatilis","Batrachochytrium dendrobatidis"
"222","Lithobates capito","Unspecified Lepomis"
"223","Rana asiatica","Pelophylax ridibundus"
"224","Lithobates chiricahuensis","Batrachochytrium dendrobatidis"
"225","Lithobates palmipes","Lithobates catesbeianus"
"226","Lithobates pipiens","Lithobates catesbeianus"
"227","Rana macrocnemis","Procyon lotor"
"228","Lithobates sevosus","Batrachochytrium dendrobatidis"
"229","Rohanixalus shyamrupus","Unspecified Mikania"
"230","Lithobates tarahumarae","Batrachochytrium dendrobatidis"
"231","Philautus namdaphaensis","Unspecified Mikania"
"232","Spea hammondii","Unspecified Gambusia"
"233","Plethodon punctatus","Lymantria dispar"
"234","Pleurodeles waltl","Procambarus clarkii"
"235","Taricha torosa","Unspecified Gambusia"
"236","Cyclura cychlura","Capra hircus"
"237","Chalcides simonyi","Felis catus"
"238","Chalcides viridanus","Felis catus"
"239","Gallotia bravoana","Unspecified Rattus"
"240","Gallotia intermedia","Unspecified Rattus"
"241","Gallotia stehlini","Unspecified Rattus"
"242","Scelarcis perspicillata","Felis catus"
"243","Podarcis raffonei","Podarcis siculus"
"244","Elgaria coerulea","Tyria jacobaeae"
"245","Heterodon simus","Solenopsis invicta"
"246","Lampropeltis catalinensis","Felis catus"
"247","Masticophis anthonyi","Ovis aries"
"248","Thamnophis rufipunctatus","Lithobates catesbeianus"
"249","Tantilla coronata","Unspecified Solenopsis"
"250","Tantilla gracilis","Unspecified Solenopsis"
"251","Thamnophis atratus","Lithobates catesbeianus"
"252","Holbrookia lacerata","Solenopsis invicta"
"253","Crotaphytus reticulatus","Cenchrus ciliaris"
"254","Gambelia wislizenii","Bromus tectorum"
"255","Micrurus fulvius","Unspecified Solenopsis"
"256","Rena dulcis","Unspecified Solenopsis"
"257","Phrynosoma cornutum","Unspecified Solenopsis"
"258","Phrynosoma coronatum","Linepithema humile"
"259","Uma rufopunctata","Unspecified Brassica"
"260","Urosaurus auriculatus","Hemidactylus frenatus"
"261","Urosaurus clarionensis","Sus domesticus"
"262","Aspidoscelis catalinensis","Felis catus"
"263","Xenosaurus platyceps","Felis catus"
"264","Crotalus catalinensis","Felis catus"
"265","Gallotia simonyi","Unspecified Rattus"
"266","Geocrinia vitellina","Sus domesticus"
"267","Adelotus brevis","Gambusia holbrooki"
"268","Algyroides marchi","Unspecified Rattus"
"269","Tarentola gigas","Felis catus"
"270","Tarentola raziana","Mus musculus"
"271","Chioninia stangeri","Rattus rattus"
"272","Chioninia fogoensis","Agama agama"
"273","Antaresia childreni","Rhinella marina_new"
"274","Arthroleptides dutoiti","Batrachochytrium dendrobatidis"
"275","Urocyon littoralis","Aquila chrysaetos"
"276","Ctenosaura melanosterna","Unspecified Rattus"
"277","Chilabothrus exsul","Felis catus"
"278","Sechellophryne gardineri","Cinnamomum verum"
"279","Sechellophryne pipilodryas","Cinnamomum verum"
"280","Sooglossus sechellensis","Cinnamomum verum"
"281","Sooglossus thomasseti","Cinnamomum verum"
"282","Marisora magnacornae","Rattus rattus"
"283","Marisora roatanae","Rattus rattus"
"284","Arthroleptis bioko","Batrachochytrium dendrobatidis"
"285","Afrixalus lacteus","Batrachochytrium dendrobatidis"
"286","Afrixalus nigeriensis","Batrachochytrium dendrobatidis"
"287","Werneria bambutensis","Batrachochytrium dendrobatidis"
"288","Phrynobatrachus cricogaster","Batrachochytrium dendrobatidis"
"289","Xenopus amieti","Batrachochytrium dendrobatidis"
"290","Phrynobatrachus asper","Batrachochytrium dendrobatidis"
"291","Leptopelis gramineus","Batrachochytrium dendrobatidis"
"292","Leptopelis ragazzii","Batrachochytrium dendrobatidis"
"293","Leptopelis vannutellii","Batrachochytrium dendrobatidis"
"294","Balebreviceps hillmani","Batrachochytrium dendrobatidis"
"295","Altiphrynoides malcolmi","Batrachochytrium dendrobatidis"
"296","Vandijkophrynus inyangae","Batrachochytrium dendrobatidis"
"297","Afrixalus enseticola","Batrachochytrium dendrobatidis"
"298","Ptychadena erlangeri","Batrachochytrium dendrobatidis"
"299","Amietia inyangae","Batrachochytrium dendrobatidis"
"300","Ericabatrachus baleensis","Batrachochytrium dendrobatidis"
"301","Herpele squalostoma","Batrachochytrium dendrobatidis"
"302","Amietia johnstoni","Batrachochytrium dendrobatidis"
"303","Strongylopus rhodesianus","Batrachochytrium dendrobatidis"
"304","Hyperolius rubrovermiculatus","Batrachochytrium dendrobatidis"
"305","Arthroleptides martiensseni","Batrachochytrium dendrobatidis"
"306","Arthroleptides yakusini","Batrachochytrium dendrobatidis"
"307","Cryptagama aurita","Felis catus"
"308","Scotobleps gabonicus","Batrachochytrium dendrobatidis"
"309","Trichobatrachus robustus","Batrachochytrium dendrobatidis"
"310","Phlyctimantis leonardi","Batrachochytrium dendrobatidis"
"311","Conraua crassipes","Batrachochytrium dendrobatidis"
"312","Phrynobatrachus africanus","Batrachochytrium dendrobatidis"
"313","Phrynobatrachus calcaratus","Batrachochytrium dendrobatidis"
"314","Arthroleptella bicolor","Unspecified Pinus"
"315","Arthroleptella villiersi","Unspecified Pinus"
"316","Strongylopus fuelleborni","Unspecified Eucalyptus"
"317","Strongylopus wageri","Unspecified SALMONIDAE"
"318","Hemidactylus boavistensis","Hemidactylus angulatus"
"319","Chioninia vaillantii","Agama agama"
"320","Praslinia cooperi","Cinnamomum verum"
"321","Atelopus nocturnus","Batrachochytrium dendrobatidis"
"322","Chlamydosaurus kingii","Felis catus"
"323","Acanthophis rugosus","Rhinella marina"
"324","Murexia rothschildi","Canis familiaris"
"325","Phascolosorex doriae","Canis familiaris"
"326","Antechinomys laniger","Felis catus"
"327","Parantechinus apicalis","Unspecified Mus"
"328","Pseudantechinus bilarni","Rhinella marina"
"329","Pseudantechinus mimulus","Felis catus"
"330","Dasycercus cristicauda","Felis catus"
"331","Antechinus bellus","Felis catus"
"332","Dasyurus albopunctatus","Felis catus"
"333","Dasyurus spartacus","Unspecified Mimosa"
"334","Dasyurus viverrinus","Felis catus"
"335","Dasyurus hallucatus","Canis familiaris"
"336","Sminthopsis psammophila","Felis catus"
"337","Sminthopsis bindi","Felis catus"
"338","Myrmecobius fasciatus","Felis catus"
"339","Wyulda squamicaudata","Felis catus"
"340","Phalanger alexandrae","Sus domesticus"
"341","Strigocuscus pelengensis","Phalanger orientalis"
"342","Dorcopsulus vanheurni","Canis lupus ssp. dingo"
"343","Macropus irma","Vulpes vulpes"
"344","Macropus eugenii","Vulpes vulpes"
"345","Lagorchestes leporides","Vulpes vulpes"
"346","Lagorchestes conspicillatus","Felis catus"
"347","Lagorchestes hirsutus","Felis catus"
"348","Lagorchestes asomatus","Felis catus"
"349","Petrogale mareeba","Felis catus"
"350","Petrogale godmani","Felis catus"
"351","Petrogale rothschildi","Vulpes vulpes"
"352","Petrogale concinna","Felis catus"
"353","Petrogale sharmani","Felis catus"
"354","Petrogale lateralis","Felis catus"
"355","Petrogale xanthopus","Capra hircus"
"356","Petrogale purpureicollis","Felis catus"
"357","Petrogale penicillata","Vulpes vulpes"
"358","Petrogale burbidgei","Felis catus"
"359","Lagostrophus fasciatus","Unspecified Mus"
"360","Dendrolagus lumholtzi","Canis familiaris"
"361","Onychogalea lunata","Felis catus"
"362","Onychogalea unguifera","Vulpes vulpes"
"363","Onychogalea fraenata","Oryctolagus cuniculus"
"364","Thylogale billardierii","Vulpes vulpes"
"365","Lasiorhinus krefftii","Cenchrus ciliaris"
"366","Lasiorhinus latifrons","Oryctolagus cuniculus"
"367","Petaurus norfolcensis","Oryctolagus cuniculus"
"368","Potorous gilbertii","Felis catus"
"369","Bettongia gaimardi","Vulpes vulpes"
"370","Bettongia penicillata","Felis catus"
"371","Caloprymnus campestris","Felis catus"
"372","Pseudocheirus occidentalis","Morelia spilota ssp. imbricata"
"373","Ornithorhynchus anatinus","Vulpes vulpes"
"374","Notoryctes caurinus","Felis catus"
"375","Chaeropus ecaudatus","Felis catus"
"376","Microperoryctes longicauda","Canis familiaris"
"377","Perameles bougainville","Vulpes vulpes"
"378","Perameles eremiana","Oryctolagus cuniculus"
"379","Perameles gunnii","Felis catus"
"380","Macrotis lagotis","Felis catus"
"381","Macrotis leucura","Vulpes vulpes"
"382","Histiotus magellanicus","Castor canadensis"
"383","Myotis findleyi","Unspecified Rattus"
"384","Myotis vivesi","Unspecified Rattus"
"385","Pteropus dasymallus","Callosciurus erythraeus"
"386","Pteropus pselaphon","Canis familiaris"
"387","Coleura seychellensis","Cocos nucifera"
"388","Otomops wroughtoni","Unspecified Prosopis"
"389","Eptesicus guadeloupensis","Unspecified Rattus"
"390","Leptonycteris nivalis","Felis catus"
"391","Phyllonycteris aphylla","Felis catus"
"392","Mazama gouazoubira","Canis familiaris"
"393","Cervus nippon","Cervus elaphus_old"
"394","Rusa timorensis","Acacia nilotica"
"395","Axis porcinus","Acacia catechu"
"396","Hippocamelus antisensis","Canis familiaris"
"397","Hippocamelus bisulcus","Lepus europaeus"
"398","Ozotoceros bezoarticus","Canis familiaris"
"399","Capreolus capreolus","Canis familiaris"
"400","Odocoileus hemionus","Canis familiaris"
"401","Pudu puda","Unspecified CERVIDAE"
"402","Rucervus duvaucelii","Unspecified Sesbania"
"403","Geocapromys brownii","Canis familiaris"
"404","Mysateles melanurus","Rattus rattus"
