"","scientificName","ias"
"1971","Austrochaperina novaebritanniae","Batrachochytrium dendrobatidis"
"1972","Cophixalus nubicola","Batrachochytrium dendrobatidis"
"1973","Copiula minor","Batrachochytrium dendrobatidis"
"1974","Leptopelis mtoewaate","Batrachochytrium dendrobatidis"
"1975","Cornufer caesiops","Batrachochytrium dendrobatidis"
"1976","Cornufer citrinospilus","Batrachochytrium dendrobatidis"
"1977","Cornufer desticans","Batrachochytrium dendrobatidis"
"1978","Cornufer manus","Batrachochytrium dendrobatidis"
"1979","Cornufer parilis","Batrachochytrium dendrobatidis"
"1980","Litoria eschata","Batrachochytrium dendrobatidis"
"1981","Nyctimystes bivocalis","Batrachochytrium dendrobatidis"
"1982","Nyctimystes calcaratus","Batrachochytrium dendrobatidis"
"1983","Nyctimystes cryptochrysos","Batrachochytrium dendrobatidis"
"1984","Nyctimystes eucavatus","Batrachochytrium dendrobatidis"
"1985","Nyctimystes intercastellus","Batrachochytrium dendrobatidis"
"1986","Nyctimystes latratus","Batrachochytrium dendrobatidis"
"1987","Nyctimystes traunae","Batrachochytrium dendrobatidis"
"1988","Nyctimystes ocreptus","Batrachochytrium dendrobatidis"
"1989","Choerophryne alpestris","Batrachochytrium dendrobatidis"
"1990","Choerophryne brevicrus","Batrachochytrium dendrobatidis"
"1991","Choerophryne murrita","Batrachochytrium dendrobatidis"
"1992","Choerophryne pandanicola","Batrachochytrium dendrobatidis"
"1993","Nyctimystes cheesmani","Batrachochytrium dendrobatidis"
"1994","Anolis acutus","Pholidoscelis exsul"
"1995","Anolis altavelensis","Felis catus"
"1996","Anolis gingivinus","Anolis cristatellus"
"1997","Anolis kahouannensis","Rattus rattus"
"1998","Anolis lividus","Felis catus"
"1999","Anolis luciae","Anolis wattsi"
"2000","Anolis pigmaequestris","Felis catus"
"2001","Anolis scriptus","Felis catus"
"2002","Austrochaperina alexanderi","Batrachochytrium dendrobatidis"
"2003","Austrochaperina laurae","Batrachochytrium dendrobatidis"
"2004","Barygenys exsul","Batrachochytrium dendrobatidis"
"2005","Callulops robustus","Batrachochytrium dendrobatidis"
"2006","Callulops microtis","Batrachochytrium dendrobatidis"
"2007","Callulops valvifer","Batrachochytrium dendrobatidis"
"2008","Callulops fojaensis","Batrachochytrium dendrobatidis"
"2009","Callulops mediodiscus","Batrachochytrium dendrobatidis"
"2010","Callulops omnistriatus","Batrachochytrium dendrobatidis"
"2011","Callulops wondiwoiensis","Batrachochytrium dendrobatidis"
"2012","Callulops yapenensis","Batrachochytrium dendrobatidis"
"2013","Choerophryne amomani","Batrachochytrium dendrobatidis"
"2014","Choerophryne arndtorum","Batrachochytrium dendrobatidis"
"2015","Choerophryne bryonopsis","Batrachochytrium dendrobatidis"
"2016","Choerophryne gracilirostris","Batrachochytrium dendrobatidis"
"2017","Choerophryne microps","Batrachochytrium dendrobatidis"
"2018","Choerophryne nigrescens","Batrachochytrium dendrobatidis"
"2019","Cophixalus albolineatus","Batrachochytrium dendrobatidis"
"2020","Cophixalus caverniphilus","Batrachochytrium dendrobatidis"
"2021","Cophixalus cupricarenus","Batrachochytrium dendrobatidis"
"2022","Cophixalus desticans","Batrachochytrium dendrobatidis"
"2023","Cophixalus iovaorum","Batrachochytrium dendrobatidis"
"2024","Cophixalus kethuk","Batrachochytrium dendrobatidis"
"2025","Cophixalus linnaeus","Batrachochytrium dendrobatidis"
"2026","Cophixalus melanops","Batrachochytrium dendrobatidis"
"2027","Cophixalus monosyllabus","Batrachochytrium dendrobatidis"
"2028","Cophixalus nexipus","Batrachochytrium dendrobatidis"
"2029","Cophixalus phaeobalius","Batrachochytrium dendrobatidis"
"2030","Cophixalus pictus","Batrachochytrium dendrobatidis"
"2031","Cophixalus tenuidactylus","Batrachochytrium dendrobatidis"
"2032","Cophixalus tomaiodactylus","Batrachochytrium dendrobatidis"
"2033","Cophixalus viridis","Batrachochytrium dendrobatidis"
"2034","Cophixalus wempi","Batrachochytrium dendrobatidis"
"2035","Copiula annanoreenae","Batrachochytrium dendrobatidis"
"2036","Copiula lennarti","Batrachochytrium dendrobatidis"
"2037","Hylophorbus atrifasciatus","Batrachochytrium dendrobatidis"
"2038","Hylophorbus proekes","Batrachochytrium dendrobatidis"
"2039","Hylophorbus sigridae","Batrachochytrium dendrobatidis"
"2040","Sphenophryne magnitympanum","Batrachochytrium dendrobatidis"
"2041","Mantophryne axanthogaster","Batrachochytrium dendrobatidis"
"2042","Oninia senglaubi","Batrachochytrium dendrobatidis"
"2043","Oreophryne albomaculata","Batrachochytrium dendrobatidis"
"2044","Oreophryne ampelos","Batrachochytrium dendrobatidis"
"2045","Oreophryne anamiatoi","Batrachochytrium dendrobatidis"
"2046","Oreophryne cameroni","Batrachochytrium dendrobatidis"
"2047","Oreophryne curator","Batrachochytrium dendrobatidis"
"2048","Oreophryne ezra","Batrachochytrium dendrobatidis"
"2049","Oreophryne gagneorum","Batrachochytrium dendrobatidis"
"2050","Oreophryne graminis","Batrachochytrium dendrobatidis"
"2051","Oreophryne oviprotector","Batrachochytrium dendrobatidis"
"2052","Oreophryne parkopanorum","Batrachochytrium dendrobatidis"
"2053","Oreophryne streiffeleri","Batrachochytrium dendrobatidis"
"2054","Paedophryne amauensis","Batrachochytrium dendrobatidis"
"2055","Paedophryne dekot","Batrachochytrium dendrobatidis"
"2056","Paedophryne kathismaphlox","Batrachochytrium dendrobatidis"
"2057","Paedophryne oyatabu","Batrachochytrium dendrobatidis"
"2058","Paedophryne verrucosa","Batrachochytrium dendrobatidis"
"2059","Xenorhina brachyrhyncha","Batrachochytrium dendrobatidis"
"2060","Xenorhina tillacki","Batrachochytrium dendrobatidis"
"2061","Nyctimystes myolae","Batrachochytrium dendrobatidis"
"2062","Sphenophryne miniafia","Batrachochytrium dendrobatidis"
"2063","Mannophryne trinitatis","Batrachochytrium dendrobatidis"
"2064","Hyloscirtus colymba","Batrachochytrium dendrobatidis"
"2065","Pristimantis mondolfii","Batrachochytrium dendrobatidis"
"2066","Pristimantis melanoproctus","Batrachochytrium dendrobatidis"
"2067","Centrolene daidalea","Batrachochytrium dendrobatidis"
"2068","Espadarana andina","Unspecified SALMONIDAE"
"2069","Centrolene notosticta","Unspecified SALMONIDAE"
"2070","Pristimantis tubernasus","Batrachochytrium dendrobatidis"
"2071","Rhinella sternosignata","Batrachochytrium dendrobatidis"
"2072","Flectonotus pygmaeus","Batrachochytrium dendrobatidis"
"2073","Chiropterotriton cieloensis","Batrachochytrium salamandrivorans"
"2074","Chiropterotriton infernalis","Batrachochytrium salamandrivorans"
"2075","Bolitoglossa chucantiensis","Batrachochytrium salamandrivorans"
"2076","Atelopus tricolor","Batrachochytrium dendrobatidis"
"2077","Nymphargus pluvialis","Batrachochytrium dendrobatidis"
"2078","Hyloscirtus armatus","Batrachochytrium dendrobatidis"
"2079","Telmatobius timens","Batrachochytrium dendrobatidis"
"2080","Pristimantis pharangobates","Batrachochytrium dendrobatidis"
"2081","Rhinella veraguensis","Batrachochytrium dendrobatidis"
"2082","Pelophylax shqipericus","Batrachochytrium dendrobatidis"
"2083","Pelophylax epeiroticus","Batrachochytrium dendrobatidis"
"2084","Discoglossus sardus","Pelophylax ridibundus"
"2085","Pelodytes ibericus","Procambarus clarkii"
"2086","Craugastor obesus","Batrachochytrium dendrobatidis"
"2087","Thorius hankeni","Batrachochytrium salamandrivorans"
"2088","Leptodactylodon perreti","Batrachochytrium dendrobatidis"
"2089","Petropedetes perreti","Batrachochytrium dendrobatidis"
"2090","Colostethus jacobuspetersi","Batrachochytrium dendrobatidis"
"2091","Pristimantis calcarulatus","Batrachochytrium dendrobatidis"
"2092","Rhinella rumbolli","Unspecified SALMONIDAE"
"2093","Hyalinobatrachium pallidum","Batrachochytrium dendrobatidis"
"2094","Flectonotus fitzgeraldi","Batrachochytrium dendrobatidis"
"2095","Phytotriades auratus","Batrachochytrium dendrobatidis"
"2096","Rhinella leptoscelis","Batrachochytrium dendrobatidis"
"2097","Oreophryne anser","Batrachochytrium dendrobatidis"
"2098","Oreophryne banshee","Batrachochytrium dendrobatidis"
"2099","Oreophryne equus","Batrachochytrium dendrobatidis"
"2100","Oreophryne lemur","Batrachochytrium dendrobatidis"
"2101","Oreophryne matawan","Batrachochytrium dendrobatidis"
"2102","Oreophryne penelopeia","Batrachochytrium dendrobatidis"
"2103","Oreophryne philosylleptoris","Batrachochytrium dendrobatidis"
"2104","Oreophryne picticrus","Batrachochytrium dendrobatidis"
"2105","Oreophryne flavomaculata","Batrachochytrium dendrobatidis"
"2106","Oreophryne choerophrynoides","Batrachochytrium dendrobatidis"
"2107","Oedipina berlini","Batrachochytrium salamandrivorans"
"2108","Pleurodema marmoratum","Batrachochytrium dendrobatidis"
"2109","Limnonectes modestus","Batrachochytrium dendrobatidis"
"2110","Amolops albispinus","Gambusia affinis"
"2111","Thorius longicaudus","Batrachochytrium salamandrivorans"
"2112","Thorius pinicola","Batrachochytrium salamandrivorans"
"2113","Bolitoglossa aurae","Batrachochytrium salamandrivorans"
"2114","Cynops fudingensis","Trachemys scripta ssp. elegans"
"2115","Craugastor gulosus","Batrachochytrium dendrobatidis"
"2116","Duellmanohyla lythrodes","Batrachochytrium dendrobatidis"
"2117","Ptychohyla legleri","Batrachochytrium dendrobatidis"
"2118","Bolitoglossa compacta","Batrachochytrium salamandrivorans"
"2119","Asterophrys foja","Batrachochytrium dendrobatidis"
"2120","Austrochaperina punctata","Batrachochytrium dendrobatidis"
"2121","Austrochaperina rudolfarndti","Batrachochytrium dendrobatidis"
"2122","Choerophryne alainduboisi","Batrachochytrium dendrobatidis"
"2123","Choerophryne bisyllaba","Batrachochytrium dendrobatidis"
"2124","Choerophryne crucifer","Batrachochytrium dendrobatidis"
"2125","Choerophryne multisyllaba","Batrachochytrium dendrobatidis"
"2126","Choerophryne pipiens","Batrachochytrium dendrobatidis"
"2127","Austrochaperina macrorhyncha","Batrachochytrium dendrobatidis"
"2128","Cornufer exedrus","Batrachochytrium dendrobatidis"
"2129","Litoria nullicedens","Batrachochytrium dendrobatidis"
"2130","Nyctimystes disruptus","Batrachochytrium dendrobatidis"
"2131","Oreophryne albitympanum","Batrachochytrium dendrobatidis"
"2132","Oreophryne brunnea","Batrachochytrium dendrobatidis"
"2133","Paedophryne titan","Batrachochytrium dendrobatidis"
"2134","Plectrohyla calvata","Batrachochytrium dendrobatidis"
"2135","Duellmanohyla soralia","Batrachochytrium dendrobatidis"
"2136","Craugastor charadra","Batrachochytrium dendrobatidis"
"2137","Nototriton brodiei","Batrachochytrium dendrobatidis"
"2138","Bolitoglossa odonnelli","Batrachochytrium salamandrivorans"
"2139","Cryptotriton nasalis","Batrachochytrium salamandrivorans"
"2140","Aphantophryne minuta","Batrachochytrium dendrobatidis"
"2141","Aphantophryne pansa","Batrachochytrium dendrobatidis"
"2142","Aphantophryne sabini","Batrachochytrium dendrobatidis"
"2143","Callulops boettgeri","Batrachochytrium dendrobatidis"
"2144","Callulops dubius","Batrachochytrium dendrobatidis"
"2145","Litoria capitula","Batrachochytrium dendrobatidis"
"2146","Oreophryne frontifasciata","Batrachochytrium dendrobatidis"
"2147","Cornufer papuensis","Batrachochytrium dendrobatidis"
"2148","Cornufer acrochordus","Batrachochytrium dendrobatidis"
"2149","Cornufer aculeodactylus","Batrachochytrium dendrobatidis"
"2150","Cornufer bufoniformis","Batrachochytrium dendrobatidis"
"2151","Hyperolius thomensis","Batrachochytrium dendrobatidis"
"2152","Leptopelis palmatus","Batrachochytrium dendrobatidis"
"2153","Ptychadena newtoni","Batrachochytrium dendrobatidis"
"2154","Cornufer guentheri","Batrachochytrium dendrobatidis"
"2155","Cornufer gigas","Batrachochytrium dendrobatidis"
"2156","Papurana kreffti","Unspecified Batrachochytrium"
"2157","Litoria thesaurensis","Batrachochytrium dendrobatidis"
"2158","Cornufer wolfi","Batrachochytrium dendrobatidis"
"2159","Cornufer weberi","Batrachochytrium dendrobatidis"
"2160","Cornufer vertebralis","Batrachochytrium dendrobatidis"
"2161","Cornufer trossulus","Batrachochytrium dendrobatidis"
"2162","Cornufer opisthodon","Batrachochytrium dendrobatidis"
"2163","Cornufer neckeri","Batrachochytrium dendrobatidis"
"2164","Cornufer solomonis","Batrachochytrium dendrobatidis"
"2165","Chiropterotriton chico","Batrachochytrium dendrobatidis"
"2166","Cornufer myersi","Batrachochytrium dendrobatidis"
"2167","Cornufer minutus","Batrachochytrium dendrobatidis"
"2168","Cornufer mediodiscus","Batrachochytrium dendrobatidis"
"2169","Cornufer malukuna","Batrachochytrium dendrobatidis"
"2170","Cornufer macrops","Batrachochytrium dendrobatidis"
"2171","Cornufer guppyi","Batrachochytrium dendrobatidis"
"2172","Cornufer hedigeri","Batrachochytrium dendrobatidis"
"2173","Asterophrys leucopus","Batrachochytrium dendrobatidis"
"2174","Asterophrys pullifer","Batrachochytrium dendrobatidis"
"2175","Asterophrys turpicola","Batrachochytrium dendrobatidis"
"2176","Austrochaperina adamantina","Batrachochytrium dendrobatidis"
"2177","Cophixalus verrucosus","Batrachochytrium dendrobatidis"
"2178","Copiula fistulans","Batrachochytrium dendrobatidis"
"2179","Copiula oxyrhina","Batrachochytrium dendrobatidis"
"2180","Cornufer adiastolus","Batrachochytrium dendrobatidis"
"2181","Cornufer boulengeri","Batrachochytrium dendrobatidis"
"2182","Cornufer browni","Batrachochytrium dendrobatidis"
"2183","Cornufer bufonulus","Batrachochytrium dendrobatidis"
"2184","Xenorhina adisca","Batrachochytrium dendrobatidis"
"2185","Xenorhina anorbis","Batrachochytrium dendrobatidis"
"2186","Xenorhina arfakiana","Batrachochytrium dendrobatidis"
"2187","Xenorhina bouwensi","Batrachochytrium dendrobatidis"
"2188","Xenorhina eiponis","Batrachochytrium dendrobatidis"
"2189","Xenorhina gigantea","Batrachochytrium dendrobatidis"
"2190","Cornufer gilliardi","Batrachochytrium dendrobatidis"
"2191","Cophixalus pulchellus","Batrachochytrium dendrobatidis"
"2192","Austrochaperina parkeri","Batrachochytrium dendrobatidis"
"2193","Austrochaperina polysticta","Batrachochytrium dendrobatidis"
"2194","Austrochaperina rivularis","Batrachochytrium dendrobatidis"
"2195","Sarcohyla labeculata","Batrachochytrium dendrobatidis"
"2196","Sarcohyla hapsa","Batrachochytrium dendrobatidis"
"2197","Austrochaperina septentrionalis","Batrachochytrium dendrobatidis"
"2198","Austrochaperina yelaensis","Batrachochytrium dendrobatidis"
"2199","Barygenys atra","Batrachochytrium dendrobatidis"
"2200","Barygenys cheesmanae","Batrachochytrium dendrobatidis"
"2201","Barygenys flavigularis","Batrachochytrium dendrobatidis"
"2202","Barygenys maculata","Batrachochytrium dendrobatidis"
"2203","Barygenys nana","Batrachochytrium dendrobatidis"
"2204","Barygenys parvula","Batrachochytrium dendrobatidis"
"2205","Cophixalus timidus","Batrachochytrium dendrobatidis"
"2206","Cophixalus variabilis","Batrachochytrium dendrobatidis"
"2207","Cophixalus verecundus","Batrachochytrium dendrobatidis"
"2208","Litoria albolabris","Batrachochytrium dendrobatidis"
"2209","Austrochaperina blumi","Batrachochytrium dendrobatidis"
"2210","Austrochaperina basipalmata","Batrachochytrium dendrobatidis"
"2211","Austrochaperina derongo","Batrachochytrium dendrobatidis"
"2212","Austrochaperina kosarek","Batrachochytrium dendrobatidis"
"2213","Austrochaperina minutissima","Batrachochytrium dendrobatidis"
"2214","Callulops personatus","Batrachochytrium dendrobatidis"
"2215","Cornufer elegans","Batrachochytrium dendrobatidis"
"2216","Cornufer macrosceles","Batrachochytrium dendrobatidis"
"2217","Cornufer magnus","Batrachochytrium dendrobatidis"
"2218","Cornufer mamusiorum","Batrachochytrium dendrobatidis"
"2219","Cornufer montanus","Batrachochytrium dendrobatidis"
"2220","Choerophryne laurini","Batrachochytrium dendrobatidis"
"2221","Cophixalus balbus","Batrachochytrium dendrobatidis"
"2222","Cophixalus biroi","Batrachochytrium dendrobatidis"
"2223","Cophixalus humicola","Batrachochytrium dendrobatidis"
"2224","Litoria brongersmai","Batrachochytrium dendrobatidis"
"2225","Litoria bulmeri","Batrachochytrium dendrobatidis"
"2226","Litoria chloronota","Batrachochytrium dendrobatidis"
"2227","Cornufer batantae","Batrachochytrium dendrobatidis"
"2228","Cornufer bimaculatus","Batrachochytrium dendrobatidis"
"2229","Cornufer punctatus","Batrachochytrium dendrobatidis"
"2230","Cornufer wuenscheorum","Batrachochytrium dendrobatidis"
"2231","Hylophorbus infulatus","Batrachochytrium dendrobatidis"
"2232","Cornufer cheesmanae","Batrachochytrium dendrobatidis"
"2233","Cornufer cryptotis","Batrachochytrium dendrobatidis"
"2234","Cophixalus tetzlaffi","Batrachochytrium dendrobatidis"
"2235","Cophixalus tridactylus","Batrachochytrium dendrobatidis"
"2236","Copiula exspectata","Batrachochytrium dendrobatidis"
"2237","Copiula major","Batrachochytrium dendrobatidis"
"2238","Copiula obsti","Batrachochytrium dendrobatidis"
"2239","Copiula pipiens","Batrachochytrium dendrobatidis"
"2240","Cornufer nexipus","Batrachochytrium dendrobatidis"
"2241","Litoria amboinensis","Batrachochytrium dendrobatidis"
"2242","Litoria angiana","Batrachochytrium dendrobatidis"
"2243","Litoria arfakiana","Batrachochytrium dendrobatidis"
"2244","Copiula tyleri","Batrachochytrium dendrobatidis"
"2245","Cophixalus cheesmanae","Batrachochytrium dendrobatidis"
"2246","Litoria longicrus","Batrachochytrium dendrobatidis"
"2247","Litoria louisiadensis","Batrachochytrium dendrobatidis"
"2248","Hylophorbus richardsi","Batrachochytrium dendrobatidis"
"2249","Hylophorbus nigrinus","Batrachochytrium dendrobatidis"
"2250","Litoria kumae","Batrachochytrium dendrobatidis"
"2251","Litoria leucova","Batrachochytrium dendrobatidis"
"2252","Litoria impura","Batrachochytrium dendrobatidis"
"2253","Litoria iris","Batrachochytrium dendrobatidis"
"2254","Litoria jeudii","Batrachochytrium dendrobatidis"
"2255","Litoria macki","Batrachochytrium dendrobatidis"
"2256","Litoria majikthise","Batrachochytrium dendrobatidis"
"2257","Litoria pinocchio","Batrachochytrium dendrobatidis"
"2258","Cophixalus cateae","Batrachochytrium dendrobatidis"
"2259","Oreophryne nicolasi","Batrachochytrium dendrobatidis"
"2260","Diasporus darienensis","Batrachochytrium dendrobatidis"
"2261","Callulops argus","Batrachochytrium dendrobatidis"
"2262","Callulops bicolor","Batrachochytrium dendrobatidis"
"2263","Callulops stellatus","Batrachochytrium dendrobatidis"
"2264","Callulops taxispilotus","Batrachochytrium dendrobatidis"
"2265","Callulops neuhaussi","Batrachochytrium dendrobatidis"
"2266","Callulops doriae","Batrachochytrium dendrobatidis"
"2267","Hylophorbus picoides","Batrachochytrium dendrobatidis"
"2268","Hylophorbus rainerguentheri","Batrachochytrium dendrobatidis"
"2269","Hylophorbus sextus","Batrachochytrium dendrobatidis"
"2270","Hylophorbus tetraphonus","Batrachochytrium dendrobatidis"
"2271","Hylophorbus wondiwoi","Batrachochytrium dendrobatidis"
"2272","Lechriodus platyceps","Batrachochytrium dendrobatidis"
"2273","Mixophyes hihihorlo","Batrachochytrium dendrobatidis"
"2274","Mantophryne louisiadensis","Batrachochytrium dendrobatidis"
"2275","Mantophryne menziesi","Batrachochytrium dendrobatidis"
"2276","Nyctimystes daymani","Batrachochytrium dendrobatidis"
"2277","Nyctimystes fluviatilis","Batrachochytrium dendrobatidis"
"2278","Nyctimystes granti","Batrachochytrium dendrobatidis"
"2279","Nyctimystes gularis","Batrachochytrium dendrobatidis"
"2280","Cophixalus ateles","Batrachochytrium dendrobatidis"
"2281","Callulops stictogaster","Batrachochytrium dendrobatidis"
"2282","Nyctimystes kuduki","Batrachochytrium dendrobatidis"
"2283","Nyctimystes montanus","Batrachochytrium dendrobatidis"
"2284","Nyctimystes obsoletus","Batrachochytrium dendrobatidis"
"2285","Nyctimystes oktediensis","Batrachochytrium dendrobatidis"
"2286","Nyctimystes papua","Batrachochytrium dendrobatidis"
"2287","Callulops wilhelmanus","Batrachochytrium dendrobatidis"
"2288","Nyctimystes narinosus","Batrachochytrium dendrobatidis"
"2289","Nyctimystes kubori","Batrachochytrium dendrobatidis"
"2290","Choerophryne allisoni","Batrachochytrium dendrobatidis"
"2291","Litoria aruensis","Batrachochytrium dendrobatidis"
"2292","Litoria contrastens","Batrachochytrium dendrobatidis"
"2293","Litoria darlingtoni","Batrachochytrium dendrobatidis"
"2294","Litoria dorsivena","Batrachochytrium dendrobatidis"
"2295","Litoria exophthalmia","Batrachochytrium dendrobatidis"
"2296","Litoria havina","Batrachochytrium dendrobatidis"
"2297","Litoria micromembrana","Batrachochytrium dendrobatidis"
"2298","Litoria modica","Batrachochytrium dendrobatidis"
"2299","Litoria multiplica","Batrachochytrium dendrobatidis"
"2300","Litoria mystax","Batrachochytrium dendrobatidis"
"2301","Litoria napaea","Batrachochytrium dendrobatidis"
"2302","Litoria nigropunctata","Batrachochytrium dendrobatidis"
"2303","Litoria obtusirostris","Batrachochytrium dendrobatidis"
"2304","Litoria oenicolen","Batrachochytrium dendrobatidis"
"2305","Litoria ollauro","Batrachochytrium dendrobatidis"
"2306","Litoria pratti","Batrachochytrium dendrobatidis"
"2307","Litoria pronimia","Batrachochytrium dendrobatidis"
"2308","Litoria prora","Batrachochytrium dendrobatidis"
"2309","Litoria pygmaea","Batrachochytrium dendrobatidis"
"2310","Litoria rubrops","Batrachochytrium dendrobatidis"
"2311","Litoria sanguinolenta","Batrachochytrium dendrobatidis"
"2312","Litoria spinifera","Batrachochytrium dendrobatidis"
"2313","Litoria vocivincens","Batrachochytrium dendrobatidis"
"2314","Litoria wapogaensis","Batrachochytrium dendrobatidis"
"2315","Litoria wollastoni","Batrachochytrium dendrobatidis"
"2316","Nyctimystes foricula","Batrachochytrium dendrobatidis"
"2317","Nyctimystes humeralis","Batrachochytrium dendrobatidis"
"2318","Nyctimystes persimilis","Batrachochytrium dendrobatidis"
"2319","Nyctimystes pulcher","Batrachochytrium dendrobatidis"
"2320","Nyctimystes semipalmatus","Batrachochytrium dendrobatidis"
"2321","Nyctimystes trachydermis","Batrachochytrium dendrobatidis"
"2322","Nyctimystes tyleri","Batrachochytrium dendrobatidis"
"2323","Nyctimystes zweifeli","Batrachochytrium dendrobatidis"
"2324","Lechriodus aganoposis","Batrachochytrium dendrobatidis"
"2325","Lechriodus melanopyga","Batrachochytrium dendrobatidis"
"2326","Choerophryne brunhildae","Batrachochytrium dendrobatidis"
"2327","Choerophryne darlingtoni","Batrachochytrium dendrobatidis"
"2328","Choerophryne fafniri","Batrachochytrium dendrobatidis"
"2329","Choerophryne gudrunae","Batrachochytrium dendrobatidis"
"2330","Choerophryne gunnari","Batrachochytrium dendrobatidis"
"2331","Choerophryne rhenaurum","Batrachochytrium dendrobatidis"
"2332","Choerophryne swanhildae","Batrachochytrium dendrobatidis"
"2333","Choerophryne tubercula","Batrachochytrium dendrobatidis"
"2334","Choerophryne valkuriarum","Batrachochytrium dendrobatidis"
"2335","Austrochaperina aquilonia","Batrachochytrium dendrobatidis"
"2336","Austrochaperina archboldi","Batrachochytrium dendrobatidis"
"2337","Austrochaperina brevipes","Batrachochytrium dendrobatidis"
"2338","Copiula guttata","Batrachochytrium dendrobatidis"
"2339","Austrochaperina hooglandi","Batrachochytrium dendrobatidis"
"2340","Austrochaperina mehelyi","Batrachochytrium dendrobatidis"
"2341","Austrochaperina palmipes","Batrachochytrium dendrobatidis"
"2342","Callulops comptus","Batrachochytrium dendrobatidis"
"2343","Callulops glandulosus","Batrachochytrium dendrobatidis"
"2344","Callulops humicola","Batrachochytrium dendrobatidis"
"2345","Callulops marmoratus","Batrachochytrium dendrobatidis"
"2346","Callulops sagittatus","Batrachochytrium dendrobatidis"
"2347","Choerophryne longirostris","Batrachochytrium dendrobatidis"
"2348","Choerophryne rostellifer","Batrachochytrium dendrobatidis"
"2349","Cophixalus bewaniensis","Batrachochytrium dendrobatidis"
"2350","Cophixalus cryptotympanum","Batrachochytrium dendrobatidis"
"2351","Cophixalus daymani","Batrachochytrium dendrobatidis"
"2352","Cophixalus kaindiensis","Batrachochytrium dendrobatidis"
"2353","Cophixalus parkeri","Batrachochytrium dendrobatidis"
"2354","Cophixalus pipilans","Batrachochytrium dendrobatidis"
"2355","Cophixalus riparius","Batrachochytrium dendrobatidis"
"2356","Cophixalus shellyi","Batrachochytrium dendrobatidis"
"2357","Cophixalus sphagnicola","Batrachochytrium dendrobatidis"
"2358","Sphenophryne thomsoni","Batrachochytrium dendrobatidis"
"2359","Sphenophryne allisoni","Batrachochytrium dendrobatidis"
"2360","Sphenophryne dentata","Batrachochytrium dendrobatidis"
"2361","Sphenophryne rhododactyla","Batrachochytrium dendrobatidis"
"2362","Sphenophryne rubra","Batrachochytrium dendrobatidis"
"2363","Sphenophryne schlaginhaufeni","Batrachochytrium dendrobatidis"
"2364","Sphenophryne similis","Batrachochytrium dendrobatidis"
"2365","Mantophryne lateralis","Batrachochytrium dendrobatidis"
"2366","Oreophryne anthonyi","Batrachochytrium dendrobatidis"
"2367","Oreophryne asplenicola","Batrachochytrium dendrobatidis"
"2368","Oreophryne atrigularis","Batrachochytrium dendrobatidis"
"2369","Oreophryne biroi","Batrachochytrium dendrobatidis"
"2370","Oreophryne brachypus","Batrachochytrium dendrobatidis"
"2371","Oreophryne brevicrus","Batrachochytrium dendrobatidis"
"2372","Oreophryne clamata","Batrachochytrium dendrobatidis"
"2373","Oreophryne crucifer","Batrachochytrium dendrobatidis"
"2374","Oreophryne flava","Batrachochytrium dendrobatidis"
"2375","Oreophryne geislerorum","Batrachochytrium dendrobatidis"
"2376","Oreophryne hypsiops","Batrachochytrium dendrobatidis"
"2377","Oreophryne idenburgensis","Batrachochytrium dendrobatidis"
"2378","Oreophryne inornata","Batrachochytrium dendrobatidis"
"2379","Oreophryne insulana","Batrachochytrium dendrobatidis"
"2380","Oreophryne kampeni","Batrachochytrium dendrobatidis"
"2381","Oreophryne loriae","Batrachochytrium dendrobatidis"
"2382","Oreophryne minuta","Batrachochytrium dendrobatidis"
"2383","Oreophryne notata","Batrachochytrium dendrobatidis"
"2384","Oreophryne pseudasplenicola","Batrachochytrium dendrobatidis"
"2385","Oreophryne sibilans","Batrachochytrium dendrobatidis"
"2386","Oreophryne unicolor","Batrachochytrium dendrobatidis"
"2387","Oreophryne waira","Batrachochytrium dendrobatidis"
"2388","Oreophryne wapoga","Batrachochytrium dendrobatidis"
"2389","Oreophryne wolterstorffi","Batrachochytrium dendrobatidis"
"2390","Sphenophryne alpestris","Batrachochytrium dendrobatidis"
"2391","Sphenophryne brevicrus","Batrachochytrium dendrobatidis"
"2392","Sphenophryne coggeri","Batrachochytrium dendrobatidis"
"2393","Sphenophryne crassa","Batrachochytrium dendrobatidis"
"2394","Sphenophryne stenodactyla","Batrachochytrium dendrobatidis"
"2395","Sphenophryne cornuta","Batrachochytrium dendrobatidis"
"2396","Xenorhina fuscigula","Batrachochytrium dendrobatidis"
"2397","Xenorhina huon","Batrachochytrium dendrobatidis"
"2398","Xenorhina macrops","Batrachochytrium dendrobatidis"
"2399","Xenorhina mehelyi","Batrachochytrium dendrobatidis"
"2400","Xenorhina multisica","Batrachochytrium dendrobatidis"
"2401","Xenorhina obesa","Batrachochytrium dendrobatidis"
"2402","Xenorhina ocellata","Batrachochytrium dendrobatidis"
"2403","Xenorhina ophiodon","Batrachochytrium dendrobatidis"
"2404","Xenorhina rostrata","Batrachochytrium dendrobatidis"
"2405","Xenorhina scheepstrai","Batrachochytrium dendrobatidis"
"2406","Xenorhina schiefenhoeveli","Batrachochytrium dendrobatidis"
"2407","Xenorhina tumulus","Batrachochytrium dendrobatidis"
"2408","Xenorhina zweifeli","Batrachochytrium dendrobatidis"
"2409","Xenorhina arboricola","Batrachochytrium dendrobatidis"
